epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2180.53,0.57909,0.61912,1.11204,0.71305,0.64621,0.69354,0.51689,1.06343,1.29216,1.5033,0.0003959,0.0003959,0.0003959
101,2198.88,0.58499,0.63611,1.11869,0.7949,0.61011,0.67935,0.49479,1.06788,1.36431,1.53277,0.00039396,0.00039396,0.00039396
102,2217.44,0.5674,0.59945,1.09744,0.76944,0.64329,0.68424,0.50058,1.0676,1.29243,1.53249,0.00039202,0.00039202,0.00039202
103,2235.81,0.57553,0.63594,1.1081,0.79382,0.64354,0.70228,0.51828,1.04502,1.23837,1.49829,0.000390079,0.000390079,0.000390079
104,2254.48,0.56838,0.62445,1.10888,0.78144,0.63169,0.69396,0.50992,1.06708,1.29832,1.53607,0.000388139,0.000388139,0.000388139
105,2272.59,0.56552,0.60148,1.10061,0.80242,0.63366,0.71629,0.52685,1.07482,1.27797,1.53333,0.000386198,0.000386198,0.000386198
106,2290.79,0.56793,0.61481,1.1105,0.76799,0.63678,0.71562,0.53917,0.99152,1.24058,1.42456,0.000384258,0.000384258,0.000384258
107,2309.06,0.57233,0.59949,1.09816,0.74602,0.64537,0.70646,0.52055,1.06019,1.25249,1.51615,0.000382318,0.000382318,0.000382318
108,2327.09,0.56169,0.57931,1.09087,0.79809,0.62533,0.70522,0.52751,1.0377,1.25515,1.49087,0.000380377,0.000380377,0.000380377
109,2345.18,0.57629,0.59942,1.1017,0.71756,0.66556,0.6948,0.52304,1.00518,1.25976,1.45239,0.000378437,0.000378437,0.000378437
110,2363.27,0.54632,0.57411,1.0817,0.81493,0.60399,0.69148,0.51588,1.01784,1.31867,1.50257,0.000376496,0.000376496,0.000376496
111,2381.26,0.53707,0.55073,1.08036,0.80044,0.61563,0.70069,0.53122,1.02405,1.24105,1.50137,0.000374556,0.000374556,0.000374556
112,2399.11,0.55316,0.57302,1.09302,0.77829,0.62415,0.70389,0.52222,1.05114,1.28945,1.52181,0.000372616,0.000372616,0.000372616
